food_id,name,query,selected_fdc_id,selected_dataset,selected_description,selected_score,selection,review_note,top_candidates,imputed_fields
U043,Peanut butter,peanut butter,169869,sr_legacy,"Peanut butter, reduced sodium",2.1,automatic_ranked_candidate,,"169869 [sr_legacy] Peanut butter, reduced sodium || 172458 [sr_legacy] Peanut butter, smooth, reduced fat || 172471 [sr_legacy] Peanut butter with omega-3, creamy || 168763 [sr_legacy] Candies, REESE'S Peanut Butter Cups || 174265 [sr_legacy] Peanut butter, chunk style, with salt || 172469 [sr_legacy] Peanut butter, chunk style, without salt || 167546 [sr_legacy] Candies, honey-combed, with peanut butter || 169681 [sr_legacy] Snacks, granola bars, hard, peanut butter",added_sugar_g
U044,Ham,ham,2705878,survey,Ham,2.35,automatic_ranked_candidate,,"2705878 [survey] Ham || 2705880 [survey] Ham, canned || 2705881 [survey] Ham, ground || 2706508 [survey] Ham croquette || 2706402 [survey] Ham stroganoff || 2705879 [survey] Ham, prosciutto || 2705900 [survey] Pork, ham hocks || 2705903 [survey] Baby Toddler ham",added_sugar_g
U045,Ramen noodles,ramen noodles,2709153,survey,"Ramen bowl, NFS",999.0,manual_override,,"2709153 [survey] Ramen bowl, NFS || 2709152 [survey] Soup, ramen noodles, water added || 2709154 [survey] Ramen bowl with beef || 2709156 [survey] Ramen bowl with fish || 2709157 [survey] Ramen bowl, vegetarian || 2709155 [survey] Ramen bowl with chicken || 2709158 [survey] Ramen bowl with meat and egg || 2709159 [survey] Ramen bowl, vegetarian with egg",added_sugar_g
U046,Pepperoni pizza,pizza pepperoni,2708642,survey,"Pizza with pepperoni, stuffed crust",2.35,automatic_ranked_candidate,,"2708642 [survey] Pizza with pepperoni, stuffed crust || 2708635 [survey] Pizza with pepperoni, from frozen, thin crust || 2708637 [survey] Pizza with pepperoni, from frozen, thick crust || 2708636 [survey] Pizza with pepperoni, from frozen, medium crust || 2708643 [survey] Pizza with pepperoni, from school lunch, thin crust || 2708645 [survey] Pizza with pepperoni, from school lunch, thick crust || 2708653 [survey] Pizza, with meat other than pepperoni, stuffed crust || 2708644 [survey] Pizza, with pepperoni, from school lunch, medium crust",added_sugar_g
U047,Salted crackers,saltine crackers,2708167,survey,"Crackers, saltine",2.35,automatic_ranked_candidate,,"2708167 [survey] Crackers, saltine || 2708169 [survey] Crackers, saltine, multigrain || 2708168 [survey] Crackers, saltine, reduced fat || 2708143 [survey] Crackers, saltine, reduced sodium || 2708132 [survey] Crackers, NFS || 2708293 [survey] Cracker chips || 2708159 [survey] Crackers, milk || 2708163 [survey] Crackers, rice",added_sugar_g
U048,Potato chips,potato chips,2709421,survey,"Potato chips, NFS",2.35,automatic_ranked_candidate,,"2709421 [survey] Potato chips, NFS || 2709422 [survey] Potato chips, plain || 2709438 [survey] Potato chips, unsalted || 2709436 [survey] Potato chips, reduced fat || 2709443 [survey] Potato chips, popped, NFS || 2709434 [survey] Potato chips, baked, plain || 2709441 [survey] Potato chips, popped, plain || 2709426 [survey] Potato chips, other flavored",added_sugar_g
U049,Soda,carbonated beverage cola,173199,sr_legacy,"Carbonated beverage, cream soda",1.7667,automatic_ranked_candidate,"Selected soda entry is cream soda. It is acceptable as sugar-sweetened soda, but not specifically cola.","173199 [sr_legacy] Carbonated beverage, cream soda || 171921 [sr_legacy] Carbonated beverage, chocolate-flavored soda || 175113 [sr_legacy] Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",added_sugar_g
U050,Cookies,cookies,2707899,survey,"Cookie, NFS",2.35,automatic_ranked_candidate,,"2707899 [survey] Cookie, NFS || 2707900 [survey] Cookie, almond || 2707960 [survey] Cookie, raisin || 2707968 [survey] Cookie, animal || 2707927 [survey] Cookie, coconut || 2707929 [survey] Cookie, fig bar || 2707930 [survey] Cookie, fortune || 2707933 [survey] Cookie, granola",added_sugar_g
U051,Chocolate cake,chocolate cake,2707868,survey,"Cake or cupcake, chocolate, no icing",999.0,manual_override,,"2707868 [survey] Cake or cupcake, chocolate, no icing || 2707871 [survey] Cake, chocolate, flourless || 2707869 [survey] Cake or cupcake, German chocolate || 2708067 [survey] Doughnut, cake type, chocolate icing || 2707864 [survey] Cake or cupcake, chocolate with white icing, bakery || 2707893 [survey] Cake or cupcake, white with chocolate icing, bakery || 2707865 [survey] Cake or cupcake, chocolate with white icing, from mix || 2707894 [survey] Cake or cupcake, white with chocolate icing, from mix",added_sugar_g
U052,Sweetened cereal,breakfast cereal sweetened,173927,sr_legacy,"Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS",1.7667,automatic_ranked_candidate,Selected sweetened cereal is a specific branded ready-to-eat cereal. This is acceptable for a high-sugar cereal case but should be described as a USDA candidate entry.,"173927 [sr_legacy] Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS || 171665 [sr_legacy] Cereals, WHEATENA, dry || 169075 [sr_legacy] Cereals ready-to-eat, ALPEN || 173900 [sr_legacy] Cereals, CREAM OF RICE, dry || 169076 [sr_legacy] Cereals ready-to-eat, FAMILIA || 172989 [sr_legacy] Cereals, QUAKER, Quick Oats, Dry || 173916 [sr_legacy] Cereals, farina, unenriched, dry || 171666 [sr_legacy] Cereals, WHEATENA, cooked with water",added_sugar_g
U053,Bagel,bagel plain,174899,sr_legacy,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",2.1,automatic_ranked_candidate,,"174899 [sr_legacy] Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame) || 175050 [sr_legacy] Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame) || 175049 [sr_legacy] Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame) || 175051 [sr_legacy] Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame) || 174900 [sr_legacy] Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted || 174901 [sr_legacy] Bagels, egg || 167533 [sr_legacy] Bagels, wheat || 172666 [sr_legacy] Bagels, oat bran",added_sugar_g
U054,Tuna canned in water,tuna canned water,175158,sr_legacy,"Fish, tuna, white, canned in water, drained solids",2.1,automatic_ranked_candidate,,"175158 [sr_legacy] Fish, tuna, white, canned in water, drained solids || 171986 [sr_legacy] Fish, tuna, light, canned in water, without salt, drained solids || 171988 [sr_legacy] Fish, tuna, white, canned in water, without salt, drained solids || 173709 [sr_legacy] Fish, tuna, light, canned in water, drained solids (Includes foods for USDA's Food Distribution Program) || 333961 [foundation] Tuna; chunk light; canned in water; drained solids || 333962 [foundation] Tuna; chunk light; canned in water; drained solids || 334002 [foundation] Tuna; chunk light; canned in water; drained solids || 334003 [foundation] Tuna; chunk light; canned in water; drained solids",added_sugar_g
U055,Edamame,edamame cooked,2707436,survey,"Edamame, cooked",2.15,automatic_ranked_candidate,,"2707436 [survey] Edamame, cooked || 168411 [sr_legacy] Edamame, frozen, prepared || 168410 [sr_legacy] Edamame, frozen, unprepared || 2758981 [foundation] Edamame, frozen, prepared || 2759056 [foundation] Edamame, frozen, prepared || 2759058 [foundation] Edamame, frozen, prepared || 2759060 [foundation] Edamame, frozen, prepared || 2759062 [foundation] Edamame, frozen, prepared",added_sugar_g
